county_name,state,county_code,deaths,population,crude_rate
Autauga,AL,1001,273,56145,486.2
Baldwin,AL,1003,1065,229287,464.5
Barbour,AL,1005,126,24589,512.4
Bibb,AL,1007,104,22136,469.8
Blount,AL,1009,335,57879,578.8
Bullock,AL,1011,49,9976,491.2
Butler,AL,1013,135,19504,692.2
Calhoun,AL,1015,676,113469,595.8
Chambers,AL,1017,174,32865,529.4
Cherokee,AL,1019,165,26294,627.5
Chilton,AL,1021,246,44397,554.1
Choctaw,AL,1023,82,12418,660.3
Clarke,AL,1025,143,23291,614.0
Clay,AL,1027,92,13112,701.6
Cleburne,AL,1029,89,14967,594.6
Coffee,AL,1031,250,53230,469.7
Colbert,AL,1033,326,55411,588.3
Conecuh,AL,1035,82,11851,691.9
Coosa,AL,1037,68,10650,638.5
Covington,AL,1039,260,36930,704.0
Crenshaw,AL,1041,92,13681,672.5
Cullman,AL,1043,482,84515,570.3
Dale,AL,1045,267,48959,545.4
Dallas,AL,1047,198,36098,548.5
DeKalb,AL,1049,359,71658,501.0
Elmore,AL,1051,423,82158,514.9
Escambia,AL,1053,202,36281,556.8
Etowah,AL,1055,726,102371,709.2
Fayette,AL,1057,120,16241,738.9
Franklin,AL,1059,182,31507,577.6
Geneva,AL,1061,170,26411,643.7
Greene,AL,1063,44,7990,550.7
Hale,AL,1065,103,14670,702.1
Henry,AL,1067,102,17223,592.2
Houston,AL,1069,587,106580,550.8
Jackson,AL,1071,354,51582,686.3
Jefferson,AL,1073,2964,655342,452.3
Lamar,AL,1075,111,13764,806.5
Lauderdale,AL,1077,528,93368,565.5
Lawrence,AL,1079,183,32857,557.0
Lee,AL,1081,558,166831,334.5
Limestone,AL,1083,465,102228,454.9
Lowndes,AL,1085,68,9641,705.3
Macon,AL,1087,100,17895,558.8
Madison,AL,1089,1504,379453,396.4
Marengo,AL,1091,108,18733,576.5
Marion,AL,1093,174,29703,585.8
Marshall,AL,1095,502,96990,517.6
Mobile,AL,1097,1945,412716,471.3
Monroe,AL,1099,118,20459,576.8
Montgomery,AL,1101,935,224639,416.2
Morgan,AL,1103,656,119883,547.2
Perry,AL,1105,54,8687,621.6
Pickens,AL,1107,97,19793,490.1
Pike,AL,1109,167,32966,506.6
Randolph,AL,1111,149,22920,650.1
Russell,AL,1113,285,58237,489.4
St. Clair,AL,1115,509,90739,560.9
Shelby,AL,1117,728,221428,328.8
Sumter,AL,1119,65,12225,531.7
Talladega,AL,1121,444,79985,555.1
Tallapoosa,AL,1123,243,40133,605.5
Tuscaloosa,AL,1125,868,210758,411.8
Walker,AL,1127,420,63143,665.2
Washington,AL,1129,103,15976,644.7
Wilcox,AL,1131,71,10206,695.7
Winston,AL,1133,164,23508,697.6
Anchorage Borough,AK,2020,796,287095,277.3
Bethel Census Area,AK,2050,50,18437,271.2
Dillingham Census Area,AK,2070,15,4833,Unreliable
Fairbanks North Star Borough,AK,2090,202,95651,211.2
Juneau Borough,AK,2110,90,31849,282.6
Kenai Peninsula Borough,AK,2122,179,59414,301.3
Ketchikan Gateway Borough,AK,2130,38,13747,276.4
Kodiak Island Borough,AK,2150,29,12992,223.2
Matanuska-Susitna Borough,AK,2170,274,110213,248.6
Nome Census Area,AK,2180,23,9909,232.1
North Slope Borough,AK,2185,23,9294,247.5
Northwest Arctic Borough,AK,2188,36,7644,471.0
Petersburg Borough/Census Area,AK,2195,13,3296,Unreliable
Prince of Wales-Hyder Census Area,AK,2198,19,6147,Unreliable
