county,state,county_code,year,deaths,population,crude_rate,death_rate_lag1,total_deaths_lag1,exposure
Autauga County,AL,01001,2011,456,55267,825.1,NA,NA,0.55267
Autauga County,AL,01001,2012,514,55514,925.9,825.1,456,0.55514
Autauga County,AL,01001,2013,535,55246,968.4,925.9,514,0.55246
Autauga County,AL,01001,2014,482,55395,870.1,968.4,535,0.55395
Autauga County,AL,01001,2015,523,55347,944.9,870.1,482,0.55347
Autauga County,AL,01001,2016,520,55416,938.4,944.9,523,0.55416
Autauga County,AL,01001,2017,528,55504,951.3,938.4,520,0.55504
Autauga County,AL,01001,2018,536,55601,964.0,951.3,528,0.55601
Autauga County,AL,01001,2019,545,55869,975.5,964.0,536,0.55869
Baldwin County,AL,01003,2011,1852,186717,991.9,NA,NA,1.86717
Baldwin County,AL,01003,2012,1801,190790,944.0,991.9,1852,1.9079
Baldwin County,AL,01003,2013,1973,195540,1009.0,944.0,1801,1.9554
Baldwin County,AL,01003,2014,1952,200111,975.5,1009.0,1973,2.00111
Baldwin County,AL,01003,2015,2092,203709,1027.0,975.5,1952,2.03709
Baldwin County,AL,01003,2016,1974,208563,946.5,1027.0,2092,2.08563
Baldwin County,AL,01003,2017,2189,212628,1029.5,946.5,1974,2.12628
Baldwin County,AL,01003,2018,2357,218022,1081.1,1029.5,2189,2.18022
Baldwin County,AL,01003,2019,2283,223234,1022.7,1081.1,2357,2.23234
Barbour County,AL,01005,2011,299,27119,1102.5,NA,NA,0.27119
Barbour County,AL,01005,2012,272,27201,1000.0,1102.5,299,0.27201
Barbour County,AL,01005,2013,278,27076,1026.7,1000.0,272,0.27076
Barbour County,AL,01005,2014,298,26887,1108.3,1026.7,278,0.26887
Barbour County,AL,01005,2015,295,26489,1113.7,1108.3,298,0.26489
Barbour County,AL,01005,2016,256,25965,985.9,1113.7,295,0.25965
Barbour County,AL,01005,2017,320,25270,1266.3,985.9,256,0.2527
Barbour County,AL,01005,2018,312,24881,1254.0,1266.3,320,0.24881
Barbour County,AL,01005,2019,334,24686,1353.0,1254.0,312,0.24686
Bibb County,AL,01007,2011,247,22766,1085.0,NA,NA,0.22766
Bibb County,AL,01007,2012,250,22597,1106.3,1085.0,247,0.22597
Bibb County,AL,01007,2013,242,22512,1075.0,1106.3,250,0.22512
Bibb County,AL,01007,2014,237,22506,1053.1,1075.0,242,0.22506
Bibb County,AL,01007,2015,238,22583,1053.9,1053.1,237,0.22583
Bibb County,AL,01007,2016,239,22643,1055.5,1053.9,238,0.22643
Bibb County,AL,01007,2017,271,22668,1195.5,1055.5,239,0.22668
Bibb County,AL,01007,2018,276,22400,1232.1,1195.5,271,0.224
Bibb County,AL,01007,2019,264,22394,1178.9,1232.1,276,0.22394
Blount County,AL,01009,2011,598,57677,1036.8,NA,NA,0.57677
Blount County,AL,01009,2012,579,57826,1001.3,1036.8,598,0.57826
Blount County,AL,01009,2013,556,57872,960.7,1001.3,579,0.57872
Blount County,AL,01009,2014,624,57719,1081.1,960.7,556,0.57719
Blount County,AL,01009,2015,613,57673,1062.9,1081.1,624,0.57673
Blount County,AL,01009,2016,697,57704,1207.9,1062.9,613,0.57704
Blount County,AL,01009,2017,712,58013,1227.3,1207.9,697,0.58013
Blount County,AL,01009,2018,689,57840,1191.2,1227.3,712,0.5784
Blount County,AL,01009,2019,718,57826,1241.7,1191.2,689,0.57826
Bullock County,AL,01011,2011,115,10542,1090.9,NA,NA,0.10542
Bullock County,AL,01011,2012,101,10474,964.3,1090.9,115,0.10474
Bullock County,AL,01011,2013,120,10639,1127.9,964.3,101,0.10639
Bullock County,AL,01011,2014,119,10764,1105.5,1127.9,120,0.10764
Bullock County,AL,01011,2015,120,10696,1121.9,1105.5,119,0.10696
Bullock County,AL,01011,2016,133,10362,1283.5,1121.9,120,0.10362
Bullock County,AL,01011,2017,125,10309,1212.5,1283.5,133,0.10309
Bullock County,AL,01011,2018,112,10138,1104.8,1212.5,125,0.10138
Bullock County,AL,01011,2019,118,10101,1168.2,1104.8,112,0.10101
Butler County,AL,01013,2011,275,20650,1331.7,NA,NA,0.2065
Butler County,AL,01013,2012,279,20307,1373.9,1331.7,275,0.20307
Butler County,AL,01013,2013,247,20265,1218.9,1373.9,279,0.20265
Butler County,AL,01013,2014,294,20296,1448.6,1218.9,247,0.20296
Butler County,AL,01013,2015,255,20154,1265.3,1448.6,294,0.20154
Butler County,AL,01013,2016,275,19998,1375.1,1265.3,255,0.19998
Butler County,AL,01013,2017,239,19825,1205.5,1375.1,275,0.19825
Butler County,AL,01013,2018,296,19680,1504.1,1205.5,239,0.1968
Butler County,AL,01013,2019,244,19448,1254.6,1504.1,296,0.19448
Calhoun County,AL,01015,2011,1341,117797,1138.4,NA,NA,1.17797
Calhoun County,AL,01015,2012,1373,117296,1170.5,1138.4,1341,1.17296
Calhoun County,AL,01015,2013,1403,116736,1201.9,1170.5,1373,1.16736
Calhoun County,AL,01015,2014,1405,115916,1212.1,1201.9,1403,1.15916
Calhoun County,AL,01015,2015,1484,115620,1283.5,1212.1,1405,1.1562
Calhoun County,AL,01015,2016,1404,114611,1225.0,1283.5,1484,1.14611
Calhoun County,AL,01015,2017,1523,114728,1327.5,1225.0,1404,1.14728
Calhoun County,AL,01015,2018,1590,114277,1391.4,1327.5,1523,1.14277
Calhoun County,AL,01015,2019,1414,113605,1244.7,1391.4,1590,1.13605
Chambers County,AL,01017,2011,445,33939,1311.2,NA,NA,0.33939
Chambers County,AL,01017,2012,497,34064,1459.0,1311.2,445,0.34064
Chambers County,AL,01017,2013,454,34162,1329.0,1459.0,497,0.34162
Chambers County,AL,01017,2014,425,34076,1247.2,1329.0,454,0.34076
Chambers County,AL,01017,2015,438,34123,1283.6,1247.2,425,0.34123
Chambers County,AL,01017,2016,460,33843,1359.2,1283.6,438,0.33843
Chambers County,AL,01017,2017,450,33713,1334.8,1359.2,460,0.33713
Chambers County,AL,01017,2018,420,33615,1249.4,1334.8,450,0.33615
Chambers County,AL,01017,2019,425,33254,1278.0,1249.4,420,0.33254
Cherokee County,AL,01019,2011,330,26057,1266.5,NA,NA,0.26057
Cherokee County,AL,01019,2012,333,26021,1279.7,1266.5,330,0.26021
Cherokee County,AL,01019,2013,331,26203,1263.2,1279.7,333,0.26203
Cherokee County,AL,01019,2014,340,26037,1305.8,1263.2,331,0.26037
Cherokee County,AL,01019,2015,345,25859,1334.2,1305.8,340,0.25859
Cherokee County,AL,01019,2016,361,25725,1403.3,1334.2,345,0.25725
