county,state,county_code,deaths,population,crude_rate,year,death_rate_lag1
Autauga County,AL,1001,273,56145,486.2,2022,NA
Baldwin County,AL,1003,1065,229287,464.5,2022,NA
Barbour County,AL,1005,126,24589,512.4,2022,NA
Bibb County,AL,1007,104,22136,469.8,2022,NA
Blount County,AL,1009,335,57879,578.8,2022,NA
Bullock County,AL,1011,49,9976,491.2,2022,NA
Butler County,AL,1013,135,19504,692.2,2022,NA
Calhoun County,AL,1015,676,113469,595.8,2022,NA
Chambers County,AL,1017,174,32865,529.4,2022,NA
Cherokee County,AL,1019,165,26294,627.5,2022,NA
Chilton County,AL,1021,246,44397,554.1,2022,NA
Choctaw County,AL,1023,82,12418,660.3,2022,NA
Clarke County,AL,1025,143,23291,614.0,2022,NA
Clay County,AL,1027,92,13112,701.6,2022,NA
Cleburne County,AL,1029,89,14967,594.6,2022,NA
Coffee County,AL,1031,250,53230,469.7,2022,NA
Colbert County,AL,1033,326,55411,588.3,2022,NA
Conecuh County,AL,1035,82,11851,691.9,2022,NA
Coosa County,AL,1037,68,10650,638.5,2022,NA
Covington County,AL,1039,260,36930,704.0,2022,NA
Crenshaw County,AL,1041,92,13681,672.5,2022,NA
Cullman County,AL,1043,482,84515,570.3,2022,NA
Dale County,AL,1045,267,48959,545.4,2022,NA
Dallas County,AL,1047,198,36098,548.5,2022,NA
DeKalb County,AL,1049,359,71658,501.0,2022,NA
Elmore County,AL,1051,423,82158,514.9,2022,NA
Escambia County,AL,1053,202,36281,556.8,2022,NA
Etowah County,AL,1055,726,102371,709.2,2022,NA
Fayette County,AL,1057,120,16241,738.9,2022,NA
Franklin County,AL,1059,182,31507,577.6,2022,NA
Geneva County,AL,1061,170,26411,643.7,2022,NA
Greene County,AL,1063,44,7990,550.7,2022,NA
Hale County,AL,1065,103,14670,702.1,2022,NA
Henry County,AL,1067,102,17223,592.2,2022,NA
Houston County,AL,1069,587,106580,550.8,2022,NA
Jackson County,AL,1071,354,51582,686.3,2022,NA
Jefferson County,AL,1073,2964,655342,452.3,2022,NA
Lamar County,AL,1075,111,13764,806.5,2022,NA
Lauderdale County,AL,1077,528,93368,565.5,2022,NA
Lawrence County,AL,1079,183,32857,557.0,2022,NA
Lee County,AL,1081,558,166831,334.5,2022,NA
Limestone County,AL,1083,465,102228,454.9,2022,NA
Lowndes County,AL,1085,68,9641,705.3,2022,NA
Macon County,AL,1087,100,17895,558.8,2022,NA
Madison County,AL,1089,1504,379453,396.4,2022,NA
Marengo County,AL,1091,108,18733,576.5,2022,NA
Marion County,AL,1093,174,29703,585.8,2022,NA
Marshall County,AL,1095,502,96990,517.6,2022,NA
Mobile County,AL,1097,1945,412716,471.3,2022,NA
Monroe County,AL,1099,118,20459,576.8,2022,NA
Montgomery County,AL,1101,935,224639,416.2,2022,NA
Morgan County,AL,1103,656,119883,547.2,2022,NA
Perry County,AL,1105,54,8687,621.6,2022,NA
Pickens County,AL,1107,97,19793,490.1,2022,NA
Pike County,AL,1109,167,32966,506.6,2022,NA
Randolph County,AL,1111,149,22920,650.1,2022,NA
Russell County,AL,1113,285,58237,489.4,2022,NA
St. Clair County,AL,1115,509,90739,560.9,2022,NA
Shelby County,AL,1117,728,221428,328.8,2022,NA
Sumter County,AL,1119,65,12225,531.7,2022,NA
Talladega County,AL,1121,444,79985,555.1,2022,NA
Tallapoosa County,AL,1123,243,40133,605.5,2022,NA
Tuscaloosa County,AL,1125,868,210758,411.8,2022,NA
Walker County,AL,1127,420,63143,665.2,2022,NA
Washington County,AL,1129,103,15976,644.7,2022,NA
Wilcox County,AL,1131,71,10206,695.7,2022,NA
Winston County,AL,1133,164,23508,697.6,2022,NA
Anchorage Borough,AK,2020,796,287095,277.3,2022,NA
Bethel Census Area,AK,2050,50,18437,271.2,2022,NA
Dillingham Census Area,AK,2070,15,4833,Unreliable,2022,NA
Fairbanks North Star Borough,AK,2090,202,95651,211.2,2022,NA
Juneau Borough,AK,2110,90,31849,282.6,2022,NA
Kenai Peninsula Borough,AK,2122,179,59414,301.3,2022,NA
Ketchikan Gateway Borough,AK,2130,38,13747,276.4,2022,NA
Kodiak Island Borough,AK,2150,29,12992,223.2,2022,NA
Matanuska-Susitna Borough,AK,2170,274,110213,248.6,2022,NA
Nome Census Area,AK,2180,23,9909,232.1,2022,NA
North Slope Borough,AK,2185,23,9294,247.5,2022,NA
Northwest Arctic Borough,AK,2188,36,7644,471.0,2022,NA
Petersburg Borough/Census Area,AK,2195,13,3296,Unreliable,2022,NA
Prince of Wales-Hyder Census Area,AK,2198,19,6147,Unreliable,2022,NA
Sitka Borough,AK,2220,24,8405,285.5,2022,NA
Southeast Fairbanks Census Area,AK,2240,18,6957,Unreliable,2022,NA
Wade Hampton Census Area,AK,2270,21,8328,252.2,2022,NA
Yukon-Koyukuk Census Area,AK,2290,23,5077,453.0,2022,NA
Apache County,AZ,4001,387,71875,538.4,2022,NA
Cochise County,AZ,4003,682,127450,535.1,2022,NA
Coconino County,AZ,4005,397,142481,278.6,2022,NA
Gila County,AZ,4007,394,54303,725.6,2022,NA
Graham County,AZ,4009,156,39211,397.8,2022,NA
Greenlee County,AZ,4011,49,9341,524.6,2022,NA
La Paz County,AZ,4012,163,21480,758.8,2022,NA
Maricopa County,AZ,4013,16150,4579081,352.7,2022,NA
Mohave County,AZ,4015,1629,217206,750.0,2022,NA
Navajo County,AZ,4017,669,112112,596.7,2022,NA
Pima County,AZ,4019,4834,1061175,455.5,2022,NA
Pinal County,AZ,4021,1832,480828,381.0,2022,NA
Santa Cruz County,AZ,4023,143,46808,305.5,2022,NA
Yavapai County,AZ,4025,1523,240226,634.0,2022,NA
Yuma County,AZ,4027,813,217824,373.2,2022,NA
Arkansas County,AR,5001,112,17383,644.3,2022,NA
Ashley County,AR,5003,138,19339,713.6,2022,NA
Baxter County,AR,5005,350,42242,828.6,2022,NA
Benton County,AR,5007,921,288774,318.9,2022,NA
Boone County,AR,5009,206,37625,547.5,2022,NA
Bradley County,AR,5011,52,10639,488.8,2022,NA
Calhoun County,AR,5013,28,5113,547.6,2022,NA
Carroll County,AR,5015,161,28276,569.4,2022,NA
Chicot County,AR,5017,60,9924,604.6,2022,NA
Clark County,AR,5019,116,22103,524.8,2022,NA
Clay County,AR,5021,87,14375,605.2,2022,NA
Cleburne County,AR,5023,177,24935,709.8,2022,NA
Cleveland County,AR,5025,44,7957,553.0,2022,NA
Columbia County,AR,5027,126,23331,540.1,2022,NA
Conway County,AR,5029,124,21037,589.4,2022,NA
Craighead County,AR,5031,440,112245,392.0,2022,NA
Crawford County,AR,5033,294,63409,463.7,2022,NA
Crittenden County,AR,5035,250,47616,525.0,2022,NA
Cross County,AR,5037,98,16142,607.1,2022,NA
Dallas County,AR,5039,40,6802,588.1,2022,NA
Desha County,AR,5041,67,11110,603.1,2022,NA
Drew County,AR,5043,90,17977,500.6,2022,NA
Faulkner County,AR,5045,507,126919,399.5,2022,NA
Franklin County,AR,5047,89,17897,497.3,2022,NA
Fulton County,AR,5049,87,12381,702.7,2022,NA
Garland County,AR,5051,678,99789,679.4,2022,NA
Grant County,AR,5053,103,18449,558.3,2022,NA
Greene County,AR,5055,249,45597,546.1,2022,NA
Hempstead County,AR,5057,104,21253,489.3,2022,NA
Hot Spring County,AR,5059,185,33787,547.5,2022,NA
Howard County,AR,5061,82,13109,625.5,2022,NA
Independence County,AR,5063,223,37757,590.6,2022,NA
Izard County,AR,5065,91,13613,668.5,2022,NA
Jackson County,AR,5067,121,16636,727.3,2022,NA
Jefferson County,AR,5069,368,65377,562.9,2022,NA
Johnson County,AR,5071,115,26513,433.7,2022,NA
Lafayette County,AR,5073,38,6596,576.1,2022,NA
Lawrence County,AR,5075,95,16410,578.9,2022,NA
Lee County,AR,5077,43,8513,505.1,2022,NA
Lincoln County,AR,5079,70,12944,540.8,2022,NA
Little River County,AR,5081,78,12180,640.4,2022,NA
Logan County,AR,5083,138,21410,644.6,2022,NA
Lonoke County,AR,5085,339,73921,458.6,2022,NA
Madison County,AR,5087,97,16644,582.8,2022,NA
Marion County,AR,5089,128,16790,762.4,2022,NA
